,Time,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,Amount,Class
262610,160562.0,-2.8166944660350697,-3.2139300190191697,-3.48063150186208,1.92876789087202,-4.1257885401701895,1.51040160455441,6.785640209726191,-0.38656770648539096,-1.2460416604250701,-2.38831088450279,-1.0301831631662,-1.20753630268441,-0.9490092579047971,-0.0324126359911328,0.24940987162783398,0.422097301634302,0.678351319437844,1.19223767146088,-0.788146482625048,3.38359230767975,1.1790461249384399,0.337434241509524,3.92074215301939,-0.430975821766475,0.41375532623080796,-0.612745469966236,-0.593538010693538,0.161113379571322,1714.0,0
197606,132094.0,2.06756342787221,-0.6596381130431371,-2.45849915636592,-0.30429116802781797,-0.0019054947324822,-1.82110516645695,0.704464628505685,-0.7166055581545849,-1.1177547833871,1.00764851035338,-1.05529472548617,-0.389457039806999,-0.310720468550035,0.780565561101265,-0.341023529944164,-2.2667717847905897,0.220348022711714,0.653332016605646,-0.69986144397062,-0.467902137665914,-0.0486224358299189,0.27341953839467,-0.17088102245118,0.116266700371986,0.455343515809216,1.00780214478391,-0.14225760780723498,-0.0756980907835985,106.0,0
3398,2922.0,-0.992594550582059,0.399507086335451,1.05257176756963,0.574845978670742,1.30858962482318,0.0180822268745689,0.817577527634024,0.078250829449667,-1.1790873071186698,-0.23977887179030702,0.170102073062541,0.16927477934596802,0.0770738804883934,0.624421669489773,0.42984719657928794,0.18791410766642605,-0.7631511225203331,0.549279079893881,1.56434354999558,0.412789420795226,-0.27111891752667105,-1.1824351142567,-0.0169216346226437,-1.02807986202259,0.42877473858776294,-0.5475548707785339,0.00812912675809699,0.07226923989232299,83.08,0
168251,119136.0,0.9197247881096791,-2.5418419288068,-3.28380892112311,-0.0636525670064048,-0.209552067642951,-0.98506827086526,1.43468320664601,-0.7423649881969091,-1.54912568587925,0.8761648457252379,0.370615811833924,0.6391514289797591,0.689163403367883,0.903624517035269,-1.0299367986482701,-1.89306549563473,-0.24032003094878604,1.31806708273919,-0.42202897832153996,0.8176307906253331,0.338952055309083,0.0584579819178975,-0.773997766263787,-0.36795346490329295,0.303597923415838,0.9544955876658741,-0.252335369297425,0.0138496536722015,695.96,0
111778,72365.0,0.893150481189646,-0.45004923940224,1.51225513314454,1.71286129787114,-0.955362923648088,0.9902512787037121,-0.7457127975188969,0.43896832961466997,1.0648737217708801,-0.300724460463027,0.8232419105918058,2.02143413944495,0.25686471874228,-0.775089024050833,-2.33168924512093,-0.8928658241446371,0.48987860622643103,-0.705309276139285,0.21554040715907802,-0.0398702777128903,-0.15139099245651502,-0.0737945379261071,-0.026115411408201,0.25840370355892395,0.391343471261552,-0.41729065776705293,0.0946980961069666,0.0350656655435809,70.0,0
270154,163942.0,-1.01920267169793,0.48149219920619396,2.27458303634669,4.24132506648265,1.5748347793453703,1.26115885634169,-0.642177088673199,0.5044877500678329,-2.20982846232713,1.4808172639429298,0.26067810589084195,0.10013397355391802,1.18304910668232,0.0135036889595254,0.645905484535008,0.581273500441109,-0.528131085762438,1.25024410602821,1.46792462122446,0.6001744293020649,0.310800222544348,0.6339033758057021,-0.249593915956105,0.219319909454231,0.27059878843457,0.546483340621594,0.0830950092805366,0.11000223722632302,0.76,0
83035,59662.0,-1.4066273700760001,1.59746639022034,0.7320394541712549,-0.102497513807285,-0.6983706864226159,-0.702969109387441,-0.118603468235685,0.9469446041492471,-0.78579366586913,-0.283465887690399,1.01149075499651,0.924133882961869,-0.0127794247243853,0.920002200967625,0.0989195958441657,0.627760693090928,-0.31192978308924296,0.21548532892241198,0.263165564376083,0.0206739732129809,-0.12136696923516901,-0.540246130269512,0.0767037860663875,0.30401799699472604,-0.129899340622914,0.0628630662612894,0.12350391666652,0.0319376243642406,11.99,0
115739,73994.0,-2.3136736911146296,-2.26084345743169,1.47224912328515,2.1402804632694097,2.89025622510939,-1.85756299194476,-1.4606613133022999,0.34607085923402897,-0.026192214298312998,0.018788214443804,-0.8016631029570551,0.0280886415736303,-0.7383998019370259,0.325087215042029,0.3618494341579939,-1.24737680308465,0.7095078668460171,-0.49514288199267,0.759219418376118,0.738927128465513,0.275628972319327,0.11876640408492099,0.504935826704367,0.0697879291134662,-0.24534183028775897,-0.275211680647141,0.0977439721046432,0.225204736132177,20.19,0
112746,72786.0,-3.39135852991503,3.9527957026928995,-2.63307905119066,0.782204853181884,-1.8060015502659,-1.5787419020948703,-1.1971283290416899,2.35547848173009,-0.26454947709206195,1.0111600139844599,-1.19580907664755,1.20167547626493,0.7337712774958491,1.81998386029344,0.48792901692603297,0.0040078264705630294,0.7817131158560771,-0.0543601809695307,0.138366352573628,0.322116645875134,0.18729208379940399,0.4234796116299471,0.42398151812485396,0.37785990333715996,-0.192908104814863,-0.37056943303214707,0.424326539182215,0.27727795990160203,1.99,0
119321,75408.0,0.9761379131318249,-0.493206991669935,1.6948891918000901,1.8594981216850799,-1.33325341961615,0.643692728979212,-0.95813345131227,0.441374099301591,1.71388673559863,-0.40760020517270706,-1.10803337103294,0.392461220579157,-1.45571511068779,-0.7045718913058159,-1.35012453602501,-0.953653365487583,0.8363321120017541,-0.840038136008498,-0.19656063890987502,-0.22905094169553,-0.130891085662352,0.0221811865247562,0.00832005943825106,0.397068245051689,0.372210562998232,-0.31168779509482697,0.10219949048571901,0.0391744156767935,38.99,0
